iter	Passed	Remaining
186	358	1558
187	360	1556
188	361	1552
189	362	1546
190	364	1543
191	365	1539
192	367	1535
193	369	1533
194	370	1530
195	372	1526
196	373	1523
197	375	1520
198	376	1516
199	378	1514
200	380	1511
201	381	1507
202	383	1506
203	385	1502
204	386	1499
205	388	1497
206	390	1494
207	391	1491
208	393	1487
209	394	1484
210	396	1481
211	397	1478
212	399	1475
213	400	1470
214	401	1467
215	403	1464
216	405	1461
217	406	1459
218	408	1455
219	409	1452
220	411	1449
221	412	1444
222	413	1441
223	415	1438
224	417	1436
225	418	1433
226	419	1429
227	420	1424
228	422	1421
229	423	1418
230	425	1414
231	426	1412
232	428	1410
233	430	1409
234	431	1406
235	433	1403
236	434	1400
237	436	1397
238	438	1394
239	439	1392
240	441	1389
241	442	1385
242	443	1382
243	445	1381
244	447	1380
245	450	1380
246	452	1380
247	454	1379
248	457	1379
249	459	1379
250	462	1378
251	464	1378
252	466	1377
253	468	1377
254	471	1376
255	473	1376
256	475	1375
257	478	1374
258	480	1373
259	481	1371
260	484	1371
261	486	1369
262	488	1369
263	490	1366
264	492	1365
265	494	1365
266	496	1364
267	498	1362
268	501	1361
269	503	1361
270	505	1360
271	508	1360
272	510	1359
273	512	1357
274	514	1355
275	516	1354
276	518	1353
277	521	1353
278	522	1351
279	524	1348
280	525	1343
281	527	1342
282	529	1340
283	531	1339
284	533	1338
285	535	1337
286	537	1336
287	540	1335
288	542	1334
289	544	1334
290	547	1332
291	549	1332
292	552	1332
293	554	1331
294	556	1329
295	558	1329
296	561	1328
297	562	1326
298	565	1325
299	567	1324
300	569	1322
301	571	1321
302	573	1319
303	575	1318
304	578	1318
305	579	1315
306	581	1313
307	583	1311
308	586	1311
309	588	1309
310	590	1309
311	593	1308
312	594	1305
313	596	1303
314	598	1301
315	599	1297
316	601	1294
317	602	1292
318	603	1289
319	605	1286
320	606	1283
321	608	1280
322	609	1278
323	611	1274
324	612	1272
325	614	1269
326	615	1266
327	616	1263
328	618	1260
329	619	1257
330	620	1254
331	622	1251
332	623	1249
333	625	1246
334	626	1244
335	628	1241
336	629	1238
337	631	1236
338	632	1233
339	634	1230
340	635	1229
341	637	1226
342	638	1223
343	640	1221
344	641	1217
345	642	1214
346	644	1212
347	645	1210
348	647	1207
349	648	1204
350	650	1202
351	651	1199
352	654	1198
353	655	1196
354	657	1194
355	658	1192
356	660	1189
357	661	1186
358	662	1183
359	664	1181
360	665	1178
361	667	1176
362	668	1173
363	670	1171
364	671	1168
365	673	1166
366	674	1163
367	676	1161
368	677	1158
369	679	1156
370	680	1154
371	681	1150
372	683	1148
373	684	1145
374	685	1142
375	686	1139
376	688	1137
377	689	1134
378	691	1132
379	692	1130
380	694	1128
381	695	1125
382	697	1123
383	698	1120
384	700	1118
385	701	1116
386	702	1113
387	704	1111
388	705	1108
389	707	1106
390	708	1103
391	711	1102
392	712	1100
393	714	1098
394	716	1096
395	717	1094
396	719	1092
397	720	1090
398	722	1087
399	723	1085
400	725	1083
401	726	1081
402	728	1078
403	729	1076
404	731	1074
405	732	1072
406	734	1069
407	735	1067
408	737	1065
409	738	1062
410	740	1060
411	741	1058
412	743	1056
413	744	1054
414	746	1052
415	747	1049
416	749	1047
417	751	1045
418	752	1043
419	753	1041
420	755	1038
421	757	1036
422	759	1035
423	760	1033
424	761	1030
425	763	1028
426	764	1026
427	766	1024
428	767	1022
429	769	1020
430	771	1018
431	773	1016
432	775	1014
433	776	1013
434	778	1011
435	779	1008
436	781	1006
437	782	1004
438	784	1002
439	786	1000
440	787	998
441	789	996
442	791	994
443	793	993
444	794	991
445	796	989
446	797	986
447	799	985
448	801	983
449	803	981
450	804	979
451	806	977
452	807	975
453	809	973
454	811	971
455	813	970
456	815	968
457	817	966
